Test Instrument:,Cary 5000 (2223)
Part No.:,630FS10-25
Lot No.:,55901
Serial No.:,X242-82
A.O.I. (deg):,0  (RANDOM Pol.)
Temp. (C.):,23
Wavelength (nm),Tx. (%)
610.000000000,0.009988103
610.099975600,0.010775032
610.200012200,0.010236441
610.299987800,0.010989741
610.400024400,0.010811934
610.500000000,0.011092117
610.599975600,0.011622039
610.700012200,0.011375775
610.799987800,0.012060945
610.900024400,0.012220685
611.000000000,0.012886074
611.099975600,0.013254004
611.200012200,0.014264753
611.299987800,0.014574464
611.400024400,0.014677724
611.500000000,0.015711870
611.599975600,0.015951477
611.700012200,0.015968865
611.799987800,0.016434517
611.900024400,0.017112114
612.000000000,0.017212640
612.099975600,0.017676029
612.200012200,0.017580353
612.299987800,0.019093497
612.400024400,0.019679541
612.500000000,0.019740080
612.599975600,0.020961773
612.700012200,0.021072876
612.799987800,0.021597840
612.900024400,0.022844030
613.000000000,0.023906555
613.099975600,0.024212029
613.200012200,0.024986276
613.299987800,0.025772158
613.400024400,0.027018946
613.500000000,0.026788659
613.599975600,0.027823325
613.700012200,0.029302679
613.799987800,0.030315625
613.900024400,0.031249546
614.000000000,0.032523055
614.099975600,0.033612326
614.200012200,0.034107331
614.299987800,0.036174417
614.400024400,0.038001388
614.500000000,0.038672470
614.599975600,0.039943576
614.700012200,0.041006897
614.799987800,0.041984901
614.900024400,0.043019220
615.000000000,0.045389038
615.099975600,0.045741681
615.200012200,0.048023753
615.299987800,0.050658081
615.400024400,0.053293142
615.500000000,0.053398911
615.599975600,0.054991014
615.700012200,0.058906026
615.799987800,0.060776215
615.900024400,0.062947065
616.000000000,0.065388732
616.099975600,0.067371115
616.200012200,0.070327029
616.299987800,0.072179452
616.400024400,0.076358616
616.500000000,0.077864766
616.599975600,0.081653781
616.700012200,0.086705849
616.799987800,0.088032298
616.900024400,0.091761470
617.000000000,0.096787050
617.099975600,0.099498391
617.200012200,0.104938008
617.299987800,0.109106861
617.400024400,0.112613626
617.500000000,0.118234962
617.599975600,0.122233652
617.700012200,0.129304886
617.799987800,0.134523287
617.900024400,0.140079826
618.000000000,0.145108923
618.099975600,0.152131557
618.200012200,0.158892453
618.299987800,0.167085975
618.400024400,0.175014466
618.500000000,0.181950837
618.599975600,0.190788060
618.700012200,0.199762940
618.799987800,0.209871471
618.900024400,0.220751733
619.000000000,0.231400385
619.099975600,0.238591388
619.200012200,0.254463673
619.299987800,0.262726366
