Test Instrument:,Cary 5000 (2223)
Part No.:,830FS10-25
Lot No.:,56803
Serial No.:,X242-22
A.O.I. (deg):,0  (RANDOM Pol.)
Temp. (C.):,23
Wavelength (nm),Tx. (%)
810.000000000,0.004937600
810.099975600,0.004202476
810.200012200,0.005485605
810.299987800,0.004238689
810.400024400,0.004896326
810.500000000,0.005134510
810.599975600,0.005242893
810.700012200,0.005600203
810.799987800,0.005718311
810.900024400,0.005839149
811.000000000,0.005934359
811.099975600,0.005988787
811.200012200,0.006076739
811.299987800,0.006195743
811.400024400,0.006369581
811.500000000,0.006613391
811.599975600,0.006924758
811.700012200,0.007297689
811.799987800,0.007710779
811.900024400,0.008134005
812.000000000,0.008536263
812.099975600,0.008892867
812.200012200,0.009194668
812.299987800,0.009451034
812.400024400,0.009686181
812.500000000,0.009929642
812.599975600,0.010204668
812.700012200,0.010520018
812.799987800,0.010868078
812.900024400,0.011229771
813.000000000,0.011584190
813.099975600,0.011919068
813.200012200,0.012237006
813.299987800,0.012555103
813.400024400,0.012898987
813.500000000,0.013293642
813.599975600,0.013753891
813.700012200,0.014277812
813.799987800,0.014845784
813.900024400,0.015425929
814.000000000,0.015983494
814.099975600,0.016491613
814.200012200,0.016941094
814.299987800,0.017345648
814.400024400,0.017740198
814.500000000,0.018172528
814.599975600,0.018690897
814.700012200,0.019331297
814.799987800,0.020107254
814.900024400,0.021005690
815.000000000,0.021990928
815.099975600,0.023014888
815.200012200,0.024030099
815.299987800,0.025001624
815.400024400,0.025914676
815.500000000,0.026776533
815.599975600,0.027612918
815.700012200,0.028461507
815.799987800,0.029365458
815.900024400,0.030367707
816.000000000,0.031506167
816.099975600,0.032808969
816.200012200,0.034289744
816.299987800,0.035944739
816.400024400,0.037753314
816.500000000,0.039682586
816.599975600,0.041695159
816.700012200,0.043757212
816.799987800,0.045844153
816.900024400,0.047942279
817.000000000,0.050048064
817.099975600,0.052168469
817.200012200,0.054322607
817.299987800,0.056542250
817.400024400,0.058867728
817.500000000,0.061338036
817.599975600,0.063977737
817.700012200,0.066787524
817.799987800,0.069746895
817.900024400,0.072832092
818.000000000,0.076041297
818.099975600,0.079412730
818.200012200,0.083022269
818.299987800,0.086956842
818.400024400,0.091273430
818.500000000,0.095964296
818.599975600,0.100950265
818.700012200,0.106111810
818.799987800,0.111348155
818.900024400,0.116639352
819.000000000,0.122080953
819.099975600,0.127870972
819.200012200,0.134250010
819.299987800,0.141415970
819.400024400,0.149447676
819.500000000,0.158270447
819.599975600,0.167681678
819.700012200,0.177429020
819.799987800,0.187311481
819.900024400,0.197264018
820.000000000,0.207394279
820.099975600,0.217957985
820.200012200,0.229284523
820.299987800,0.241685589
820.400024400,0.255385956
820.500000000,0.270498832
820.599975600,0.287047234
820.700012200,0.305011166
820.799987800,0.324374868
820.900024400,0.345154281
821.000000000,0.367400615
821.099975600,0.391191968
821.200012200,0.416630505
821.299987800,0.443849919
821.400024400,0.473026316
821.500000000,0.504374852
821.599975600,0.538123614
821.700012200,0.574474489
821.799987800,0.613571850
821.900024400,0.655501890
822.000000000,0.700338040
822.099975600,0.748222145
822.200012200,0.799450463
822.299987800,0.854525344
822.400024400,0.914150642
822.500000000,0.979177157
822.599975600,1.050512126
822.700012200,1.129015444
822.799987800,1.215419022
822.900024400,1.310295836
823.000000000,1.414093247
823.099975600,1.527234129
823.200012200,1.650274847
823.299987800,1.784086766
823.400024400,1.929981139
823.500000000,2.089701952
823.599975600,2.265268191
823.700012200,2.458709646
823.799987800,2.671802389
823.900024400,2.905943874
824.000000000,3.162271333
824.099975600,3.442026788
824.200012200,3.747026752
824.299987800,4.080041326
824.400024400,4.444920399
824.500000000,4.846402990
824.599975600,5.289668825
824.700012200,5.779805252
824.799987800,6.321376672
824.900024400,6.918225165
825.000000000,7.573512893
825.099975600,8.289954903
825.200012200,9.070156415
825.299987800,9.916970457
825.400024400,10.833801892
825.500000000,11.824799630
825.599975600,12.894834307
825.700012200,14.049185189
825.799987800,15.292903235
825.900024400,16.629906573
826.000000000,18.061968406
826.099975600,19.587825836
826.200012200,21.202682210
826.299987800,22.898288720
826.400024400,24.663579257
826.500000000,26.485729981
826.599975600,28.351370157
826.700012200,30.247571230
826.799987800,32.162303816
826.900024400,34.084210674
827.000000000,36.001898526
827.099975600,37.903127572
827.200012200,39.774264317
827.299987800,41.600365024
827.400024400,43.365952521
827.500000000,45.056186466
827.599975600,46.657954511
827.700012200,48.160449457
827.799987800,49.555224676
827.900024400,50.835981367
828.000000000,51.998400913
828.099975600,53.040440581
828.200012200,53.963153858
828.299987800,54.771683856
828.400024400,55.475810842
828.500000000,56.089449354
828.599975600,56.628960547
828.700012200,57.110537742
828.799987800,57.547225046
828.900024400,57.946564076
829.000000000,58.309694546
829.099975600,58.632373545
829.200012200,58.907747649
829.299987800,59.130086970
829.400024400,59.298379797
829.500000000,59.418515027
829.599975600,59.503078883
829.700012200,59.568693614
829.799987800,59.631646935
829.900024400,59.703371284
830.000000000,59.787423130
830.099975600,59.879102777
830.200012200,59.967944690
830.299987800,60.042087513
830.400024400,60.092793368
830.500000000,60.117356473
