Test Instrument:,Cary 5000 (2223)
Part No.:,490FS10-25
Lot No.:,59116
Serial No.:,X242-241
A.O.I. (deg):,0  (RANDOM Pol.)
Temp. (C.):,23
Wavelength (nm),Tx. (%)
470.000000000,0.006016982
470.100006100,0.005838166
470.200012200,0.005666307
470.299987800,0.005953578
470.399993900,0.006259331
470.500000000,0.005797767
470.600006100,0.006110976
470.700012200,0.006358443
470.799987800,0.007577511
470.899993900,0.006862916
471.000000000,0.007519581
471.100006100,0.007850511
471.200012200,0.008307368
471.299987800,0.007962078
471.399993900,0.008343977
471.500000000,0.008920760
471.600006100,0.009393986
471.700012200,0.008885890
471.799987800,0.009750419
471.899993900,0.010102024
472.000000000,0.010134066
472.100006100,0.011168937
472.200012200,0.010682827
472.299987800,0.011465688
472.399993900,0.011939668
472.500000000,0.011866128
472.600006100,0.012899537
472.700012200,0.013076589
472.799987800,0.013009709
472.899993900,0.013353543
473.000000000,0.014077059
473.100006100,0.014076539
473.200012200,0.015635272
473.299987800,0.016413296
473.399993900,0.016491989
473.500000000,0.016129820
473.600006100,0.017663345
473.700012200,0.017298944
473.799987800,0.019871077
473.899993900,0.019862974
474.000000000,0.020551439
474.100006100,0.020421438
474.200012200,0.021599233
474.299987800,0.023011500
474.399993900,0.022892287
474.500000000,0.024910746
474.600006100,0.025399847
474.700012200,0.026595607
474.799987800,0.027661424
474.899993900,0.028366374
475.000000000,0.029497154
475.100006100,0.030184630
475.200012200,0.033670124
475.299987800,0.033050243
475.399993900,0.033986300
475.500000000,0.036710095
475.600006100,0.037375245
475.700012200,0.037592582
475.799987800,0.039449561
475.899993900,0.042112164
476.000000000,0.044666838
476.100006100,0.045484316
476.200012200,0.047464851
476.299987800,0.050902180
476.399993900,0.053249650
476.500000000,0.054330628
476.600006100,0.055461690
476.700012200,0.058941625
476.799987800,0.062722541
476.899993900,0.064746350
477.000000000,0.067966111
477.100006100,0.070259213
477.200012200,0.074341588
477.299987800,0.077370718
477.399993900,0.082040742
477.500000000,0.083357714
477.600006100,0.087932810
477.700012200,0.093636945
477.799987800,0.095464960
477.899993900,0.102448173
478.000000000,0.106578298
478.100006100,0.113441318
478.200012200,0.116764553
478.299987800,0.120385759
478.399993900,0.128743827
478.500000000,0.135879651
478.600006100,0.144084826
478.700012200,0.149226859
478.799987800,0.157134175
478.899993900,0.164299369
479.000000000,0.173346460
479.100006100,0.184876651
479.200012200,0.193750992
479.299987800,0.203156218
479.399993900,0.215474591
479.500000000,0.226373553
479.600006100,0.239600867
479.700012200,0.254705966
479.799987800,0.268645227
479.899993900,0.283728927
480.000000000,0.299447715
480.100006100,0.318032920
480.200012200,0.334462762
480.299987800,0.354084522
480.399993900,0.375756979
480.500000000,0.399588376
480.600006100,0.419170797
480.700012200,0.455646366
480.799987800,0.476503223
480.899993900,0.501605213
481.000000000,0.537272036
481.100006100,0.575874448
481.200012200,0.605457723
481.299987800,0.652498305
481.399993900,0.686446428
481.500000000,0.737816155
481.600006100,0.791125536
481.700012200,0.841772735
481.799987800,0.902084887
481.899993900,0.971066833
482.000000000,1.036816597
482.100006100,1.099827647
482.200012200,1.174090862
482.299987800,1.270283461
482.399993900,1.367667913
482.500000000,1.469124794
482.600006100,1.569274783
482.700012200,1.696891904
482.799987800,1.813313007
482.899993900,1.960544109
483.000000000,2.119596481
483.100006100,2.280033588
483.200012200,2.477618694
483.299987800,2.670416832
483.399993900,2.875627995
483.500000000,3.108152390
483.600006100,3.397560835
483.700012200,3.658459663
483.799987800,3.987680674
483.899993900,4.317050934
484.000000000,4.663997650
484.100006100,5.069872379
484.200012200,5.537171364
484.299987800,6.010777950
484.399993900,6.486599922
484.500000000,7.121638298
484.600006100,7.718015671
484.700012200,8.406548500
484.799987800,9.079279900
484.899993900,9.992938995
485.000000000,10.789336200
485.100006100,11.781505580
485.200012200,12.836758610
485.299987800,13.815217970
485.399993900,15.039565090
485.500000000,16.348043440
485.600006100,17.654460910
485.700012200,19.047342300
485.799987800,20.619405750
485.899993900,22.149362560
486.000000000,23.711092000
486.100006100,25.345252990
486.200012200,27.337091450
486.299987800,28.918933870
486.399993900,30.976598740
486.500000000,32.821891780
486.600006100,34.653160100
486.700012200,36.684478760
486.799987800,38.566951750
486.899993900,40.465881350
487.000000000,42.214603420
487.100006100,44.129516600
487.200012200,45.772953030
487.299987800,47.316337590
487.399993900,48.864536290
487.500000000,50.375133510
487.600006100,51.725162510
487.700012200,53.202651980
487.799987800,54.342918400
487.899993900,55.490673070
488.000000000,56.557579040
488.100006100,57.576530460
488.200012200,58.311588290
488.299987800,59.172950740
488.399993900,59.778106690
488.500000000,60.400466920
488.600006100,60.966144560
488.700012200,61.305839540
488.799987800,61.837493900
488.899993900,62.200016020
489.000000000,62.487102510
489.100006100,62.774063110
489.200012200,63.030918120
489.299987800,63.185722350
489.399993900,63.421482090
489.500000000,63.503009800
489.600006100,63.814342500
489.700012200,63.896923070
489.799987800,63.960372920
489.899993900,64.038230900
490.000000000,64.012840270
490.100006100,64.010841370
490.200012200,64.100578310
490.299987800,64.078109740
490.399993900,64.075965880
490.500000000,64.036491390
490.600006100,63.975967410
490.700012200,63.846694950
490.799987800,63.924865720
490.899993900,63.792240140
491.000000000,63.598419190
491.100006100,63.520179750
491.200012200,63.356758120
491.299987800,63.230396270
491.399993900,63.175487520
491.500000000,62.964385990
491.600006100,62.807647710
491.700012200,62.601501460
491.799987800,62.367294310
491.899993900,62.383037570
492.000000000,62.194759370
492.100006100,62.000751500
492.200012200,61.909370420
492.299987800,61.798904420
492.399993900,61.783809660
492.500000000,61.642707820
492.600006100,61.722938540
492.700012200,61.548362730
492.799987800,61.604778290
492.899993900,61.626350400
493.000000000,61.603321080
493.100006100,61.624629970
493.200012200,61.748958590
493.299987800,61.892742160
493.399993900,62.041831970
493.500000000,62.193828580
493.600006100,62.496875760
493.700012200,62.527553560
493.799987800,62.647121430
493.899993900,62.806915280
494.000000000,63.044601440
494.100006100,63.105510710
494.200012200,63.244956970
494.299987800,63.412548070
494.399993900,63.323982240
494.500000000,63.193546300
494.600006100,63.121181490
494.700012200,62.861537930
494.799987800,62.554370880
494.899993900,61.857151030
495.000000000,61.280025480
495.100006100,60.476749420
495.200012200,59.535831450
495.299987800,58.359146120
495.399993900,57.198410030
495.500000000,55.579841610
495.600006100,53.956604000
495.700012200,52.299072270
495.799987800,50.312633510
495.899993900,48.291683200
496.000000000,46.057025910
496.100006100,44.013027190
496.200012200,41.606243130
496.299987800,39.268814090
496.399993900,36.942909240
496.500000000,34.840755460
496.600006100,32.399749760
496.700012200,30.337583540
496.799987800,28.122959140
496.899993900,26.171470640
497.000000000,24.096797940
497.100006100,22.276155470
497.200012200,20.512640000
497.299987800,18.804506300
497.399993900,17.361671450
497.500000000,15.834337230
497.600006100,14.535023690
497.700012200,13.315008160
497.799987800,12.287939070
497.899993900,11.224836350
498.000000000,10.287794110
498.100006100,9.429156303
498.200012200,8.669991493
498.299987800,7.947016716
498.399993900,7.322322369
498.500000000,6.707242012
498.600006100,6.152181149
498.700012200,5.702570438
498.799987800,5.230408669
498.899993900,4.823218822
499.000000000,4.454166412
499.100006100,4.128106117
499.200012200,3.794152975
499.299987800,3.512013674
499.399993900,3.250669956
499.500000000,3.017269135
499.600006100,2.797993183
499.700012200,2.609504700
499.799987800,2.418917418
499.899993900,2.240092754
500.000000000,2.094367981
500.100006100,1.943565369
500.200012200,1.825363755
500.299987800,1.694152117
500.399993900,1.590380788
500.500000000,1.486313581
500.600006100,1.385816455
500.700012200,1.311757445
500.799987800,1.231700778
500.899993900,1.150982141
501.000000000,1.081063747
501.100006100,1.014355659
501.200012200,0.957821846
501.299987800,0.894061685
501.399993900,0.852265418
501.500000000,0.805499196
501.600006100,0.753046691
501.700012200,0.711701214
501.799987800,0.676099241
501.899993900,0.637726426
502.000000000,0.601036787
502.100006100,0.572246373
502.200012200,0.542253256
502.299987800,0.513256252
502.399993900,0.484604865
502.500000000,0.457398355
502.600006100,0.436917782
502.700012200,0.413084447
502.799987800,0.394624293
502.899993900,0.377695918
503.000000000,0.355559856
503.100006100,0.337413758
503.200012200,0.327793419
503.299987800,0.306977809
503.399993900,0.295917541
503.500000000,0.281713188
503.600006100,0.264417320
503.700012200,0.251648575
503.799987800,0.242083520
503.899993900,0.232407987
504.000000000,0.221775025
504.100006100,0.211102858
504.200012200,0.202120677
504.299987800,0.195299059
504.399993900,0.187514156
504.500000000,0.175211296
504.600006100,0.172240421
504.700012200,0.166676268
504.799987800,0.157145426
504.899993900,0.149628773
505.000000000,0.145704001
505.100006100,0.139415935
505.200012200,0.132249594
505.299987800,0.127083898
505.399993900,0.120724760
505.500000000,0.118999161
505.600006100,0.114120506
505.700012200,0.109790012
505.799987800,0.104503833
505.899993900,0.101382725
506.000000000,0.099090427
506.100006100,0.093960524
506.200012200,0.091595873
506.299987800,0.085786752
506.399993900,0.084195688
506.500000000,0.081878707
506.600006100,0.076825470
506.700012200,0.074603401
506.799987800,0.073463403
506.899993900,0.070257127
507.000000000,0.066992588
507.100006100,0.064894803
507.200012200,0.064285234
507.299987800,0.062797867
507.399993900,0.057529420
507.500000000,0.057132322
507.600006100,0.054213952
507.700012200,0.053583574
507.799987800,0.050461717
507.899993900,0.050565541
508.000000000,0.046876930
508.100006100,0.045548946
508.200012200,0.045572244
508.299987800,0.043171883
508.399993900,0.043188784
508.500000000,0.041474134
508.600006100,0.038705412
508.700012200,0.038753096
508.799987800,0.036542479
508.899993900,0.035193112
509.000000000,0.035179466
509.100006100,0.033431880
509.200012200,0.032781232
509.299987800,0.031889483
509.399993900,0.030939117
509.500000000,0.029481787
509.600006100,0.030211007
509.700012200,0.028048063
509.799987800,0.027760267
509.899993900,0.027002363
510.000000000,0.025197698
